Altium Designer Pick and Place Locations
E:\QRBOTS\PCB Projects\GPS_Mini_Only\GPS-Module-PCB\Project Outputs for GPS-Module-PCB\Pick Place\Pick Place for GPS-Module-New.csv

========================================================================================================================
File Design Information:

Date:       06/11/25
Time:       15:13
Revision:   61e7a8ecae9617155424f66403d0a988b53fd286
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"EXTINT","TEST_POINT","TopLayer","TEST_POINT","920.000","880.000","90",""
"U9","TVS0500DRVR","TopLayer","DRV0006A_NV","75.000","290.000","0","5V flat-clamp surge protection device 6-WSON -40 to 125"
"U8","AT24C512C-MAHM-T","TopLayer","8MA2_ATM_EEPROM","984.150","485.158","180","IC EEPROM 512KBIT I2C 8UDFN"
"U7","LT6000CDCB#TRPBF","TopLayer","DFN-6_DCB","1265.000","1044.000","90","Op Amp Single Low Power Amplifier R-R I/O 18V Automotive 6-Pin DFN EP T/R"
"U6","SN74LVC3G07QDCURQ1","TopLayer","DCU8_TEX_SN74","1105.000","1044.000","270","Automotive 3-ch, 1.65-V to 5.5-V buffers with open-drain outputs 8-VSSOP -40 to 125"
"U5","ZED-F9P-04B","TopLayer","MODULE_ZED-F9P-04B","446.732","715.158","180","series RF Receiver BeiDou, Galileo, GLONASS, GNSS, GPS 1.207GHz, 1.2276GHz, 1.246GHz, 1.561GHz, 1.575GHz, 1.602GHz -167dBm 921.6kbps - 54-LGA (22x17)"
"U4","ESD7104MUTAG","TopLayer","UDFN10_ONS_ESD","230.000","302.500","270","TVS DIODE 5VWM 10VC 10UDFN"
"U3","ESDR0502NMUTBG","BottomLayer","UDFN6_517AA_ONS","1185.000","175.000","0","TVS DIODE 5.5VWM 6UDFN"
"U2","NCV8705MT33TCG","TopLayer","WDFN6_2X2_ONS","1113.504","256.142","90","Linear Voltage Regulator IC Positive Fixed 1 Output 500mA 6-WDFN (2x2)"
"U1","RB751V40T1G","TopLayer","SOD-323_1P8X1P35_ONS","1130.000","566.500","90","Diode 30 V 30mA Surface Mount SOD-323"
"SAFE_B","TEST_POINT","TopLayer","TEST_POINT","920.000","830.000","90",""
"TIME_P","TEST_POINT","TopLayer","TEST_POINT","920.000","930.000","90",""
"TX_R","TEST_POINT","TopLayer","TEST_POINT","920.000","780.000","90",""
"GEO","TEST_POINT","TopLayer","TEST_POINT","50.000","1160.000","90",""
"RTK","TEST_POINT","TopLayer","TEST_POINT","50.000","1105.000","90",""
"SW1","435151014845","TopLayer","435151014845","963.465","632.992","90","WS-TASV SMT Tact Switch with ground terminal, L3 x W2.6 x H1.4mm, 450g, SPST-NO, 12V, 50mA"
"R14","100R","TopLayer","RES_0402_1005","1055.000","678.268","90","Res Thick Film 0402 100 Ohm 1% 0.2W ±100ppm/°C Molded SMD SMD Paper T/R"
"R13","18R","TopLayer","RES_0402_1005","1340.000","896.732","90","Res Thick Film 0402 18 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"
"R12","100K","TopLayer","RES_0402_1005","1340.000","1041.732","270","Res Thick Film 0402 100K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"
"R11","1K","TopLayer","RES_0402_1005","1340.000","968.268","270","Res Thick Film 0402 1K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"
"R10","0R","TopLayer","RES_0402_1005","1115.000","913.268","90","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R9","27R","BottomLayer","RES_0402_1005","741.732","440.000","0","Res General Purpose Thick Film 0402 27 Ohm 5% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"R8","27R","BottomLayer","RES_0402_1005","741.732","480.000","0","Res General Purpose Thick Film 0402 27 Ohm 5% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"R7","100K","TopLayer","RES_0402_1005","1195.000","913.268","90","Res Thick Film 0402 100K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"
"R6","0R","TopLayer","RES_0402_1005","1155.000","913.268","90","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R5","100K","TopLayer","RES_0402_1005","640.000","328.268","90","Res Thick Film 0402 100K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"
