Removed Pin From Net: NetName=NetC9_2 Pin=L1-1
Removed Pin From Net: NetName=ANT_SUPPLY Pin=L1-2
Change Component Footprint: Designator=L1 Old Footprint=INDC1005X55N New Footprint=INDC1005X60N
Change Component Comment : Designator=C1 Old Comment=1uF New Comment=10uF
Change Component Comment : Designator=L1 Old Comment=4N7 New Comment=120 nH
Change Component Comment : Designator=R13 Old Comment=10R New Comment=18R
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAP 0402_1005"; UniqueID = "\ZJXQCVLL" ("\ZJXQCVLL")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.octopart.com:443/GRM155R61A106ME11D-Murata-datasheet-155239053.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.octopart.com:443/GRM155R61A106ME11D-Murata-datasheet-155239053.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.octopart.com:443/GRM155R61A106ME11D-Murata-datasheet-178522865.pdf?src-supplier=Arrow.cn"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.octopart.com:443/GRM155R61A106ME11D-Murata-datasheet-178522865.pdf?src-supplier=Arrow.cn"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.octopart.com:443/GRM155R61A106ME11D-Murata-datasheet-165579666.pdf?src-supplier=TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.octopart.com:443/GRM155R61A106ME11D-Murata-datasheet-165579666.pdf?src-supplier=TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.octopart.com:443/GRM155R61A106ME11D-Murata-datasheet-141266224.pdf?src-supplier=Ciiva"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.octopart.com:443/GRM155R61A106ME11D-Murata-datasheet-141266224.pdf?src-supplier=Ciiva"; VariantName = "[No Variations]"
