Altium Designer Pick and Place Locations
E:\QRBOTS\PCB Projects\GPS_Mini_Only\GPS-Module-PCB\Project Outputs for GPS-Module-PCB\Pick Place\Pick Place for GPS-Module-New.csv

========================================================================================================================
File Design Information:

Date:       28/10/25
Time:       17:49
Revision:   494db464c776d3347224ecfa0f04beae7672433e
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U9","TVS0500DRVR","TopLayer","DRV0006A_NV","1.7780","7.3660","0","5V flat-clamp surge protection device 6-WSON -40 to 125"
"U8","AT24C512C-MAHM-T","TopLayer","8MA2_ATM_EEPROM","24.9974","12.3230","180","IC EEPROM 512KBIT I2C 8UDFN"
"U7","LT6000CDCB#TRPBF","TopLayer","DFN-6_DCB","32.1310","26.5176","90","Op Amp Single Low Power Amplifier R-R I/O 18V Automotive 6-Pin DFN EP T/R"
"U6","SN74LVC3G07QDCURQ1","TopLayer","DCU8_TEX_SN74","28.0670","26.5176","270","Automotive 3-ch, 1.65-V to 5.5-V buffers with open-drain outputs 8-VSSOP -40 to 125"
"U5","ZED-F9P-04B","TopLayer","MODULE_ZED-F9P-04B","11.3470","18.1650","180","series RF Receiver BeiDou, Galileo, GLONASS, GNSS, GPS 1.207GHz, 1.2276GHz, 1.246GHz, 1.561GHz, 1.575GHz, 1.602GHz -167dBm 921.6kbps - 54-LGA (22x17)"
"U4","ESD7104MUTAG","TopLayer","UDFN10_ONS_ESD","5.8420","7.6835","270","TVS DIODE 5VWM 10VC 10UDFN"
"U3","ESDR0502NMUTBG","BottomLayer","UDFN6_517AA_ONS","30.0990","4.4450","0","TVS DIODE 5.5VWM 6UDFN"
"U2","NCV8705MT33TCG","TopLayer","WDFN6_2X2_ONS","28.2830","6.5060","90","Linear Voltage Regulator IC Positive Fixed 1 Output 500mA 6-WDFN (2x2)"
"U1","RB751V40T1G","TopLayer","SOD-323_1P8X1P35_ONS","28.7020","14.3891","90","Diode 30 V 30mA Surface Mount SOD-323"
"SAFE_B","TEST_POINT","TopLayer","TEST_POINT","23.3680","21.0820","90",""
